Commit,Workhours
Update main.yml,1
Update main.yml,1
Create CNAME,1
Update main.yml,1
Update main.yml,1
Fixed render error.,1
Merge branch 'master' into admin_working_hours,1
Added web folder.,1
Initial commit,4
a,1
Added .env file as asset.,4
Ignored .env,1
Update main.yml,1
Update main.yml,1
Update main.yml,1
Update main.yml,1
Update main.yml,1
Added .env.,4
Removed expand all button.,4
Fixed tab bar position.,1
Added no appointment texts,1
Added no employees found.,1
Fixed special handling notes,4
Fixed ticket information.,3
Checkpoint #1: Fetch appointment request is handled.,4
Added new feature.,4
Checkpoint #1,3
Updated OG protocol metadata.,2
Merge branch 'master' into expert-call-1,1
Merge pull request #22 from make-quicker/expert-call-1,1
Dark mode is disabled.,4
Cleared icloud artifacts.,1
index on expert-call-1: cdcbc36 Cleared icloud artifacts.,1
WIP on expert-call-1: cdcbc36 Cleared icloud artifacts.,0
Hardcoded theme mode.,1
Improved product select feature.,3
Weight is convert to integer.,1
Fixed pending appts. tab does not update.,1
Disabled tab bar.,1
Merge pull request #23 from make-quicker/expert-call-2,1
Fixed null error.,4
Fixed null listener error.,1
Added new splash screen.,4
Fixed product select feature.,4
Temporarily disabled branches tab.,3
Removed admin from demo.,1
Fixed branches tab.,4
Admin page is finalized.,1
Merge pull request #24 from make-quicker/expert-call-2-aftermath,1
Implemented history screen.,4
Added history feature for appointments.,4
Merge pull request #26 from make-quicker/expert-call-2-aftermath,1
Sorted logs,1
Update main.yml,1
Merge pull request #27 from make-quicker/expert-call-2-aftermath,1
Added post new appointment feature.,4
Login loader is fixed.,1
Removed header shadow in appointment card.,1
Added dog breed picker.,3
Added search view.,4
Added all functionalities.,4
Added selected.,4
Checkpoint #1,2
Checkpoint #2: Added remove event.,1
Added save feature.,1
Added select role.,1
Revised admin employee tab.,1
Merge pull request #29 from make-quicker/admin-employee,1
Checkpoint #1: Appointment card design is implemented.,4
Checkpoint #1: Implemented header.,4
Checkpoint #2: Only calendar header and integration remains.,4
Checkpoint #3: Added drag and drop.,4
Checkpoint #4: Draggable does not work. Will test scaffold hypothesiss.,1
Fixed drag and drop and data fetching.,2
Added scrollbar to top.,1
Added remove functionality to waitlist.,2
Fixed layout problem.,4
Fixed view problems.,1
Fixed margin problem.,1
Merge pull request #30 from make-quicker/new_dashboard,1
Fixed margin problem.,1
Merge pull request #31 from make-quicker/new_dashboard,1
Added header to branch selection.,4
Added full screen functionality.,1
Removed delay at the patch operation.,1
WTF DID I DO? ,,1
Added resizable widget.,2
Added real time ray.,1
Implemented paginated query.,4
Added client information feature.,4
Added top category chart.,2
Checkpoint #1: total visits widget is being debugged.,4
Added visits contaier.,1
Added graph for appointment segment.,4
Separated calendar and branch.,4
Added dashboard schedule header and catched previous functionalities.,1
Fixed header overflow.,4
Checkpoint,4
Dashboard V1,4
Partial refactoring of features folder.,3
Checkpoint,4
Checkpoint,4
Implement selected functionality on data table.,1
Added side appointment dashboard panel.,1
Big refactor.,3
Fixed drag and drop problems.,1
Sidebar modification is added.,1
Finetuned drag-and-drop for appointments page.,1
Implemented appointments page.,2
Refactors are made.,4
Added client name retrieval.,3
Checkpoint.,4
Fixed schedule header naming.,4
Checkpoint.,2
Implemented daily column sidebar.,1
Added scheduling screen.,4
Checkpoint.,4
Branch inputs are added.,1
feat(Update calendar date): When starting date is updated, update schedule date.,4
Fix(No branch is available) : Load branches and load first one.,1
Refactor(Branch Select): Renamed as MultiBranchSelect.,1
Refactor(Product Select): Renamed as MultiProductSelect.,1
Refactor(Groomer Select): Renamed as MultiGroomerSelect.,1
Feat(Available slots): Implement data, domain and presentation.,4
Feat(Appointment card creation): Partial creation,2
Checkpoint: draggable.,4
Feat(Appointment card creation): Implement use case.,3
Bug(Incorrect ray top margin): Increase offset by 30min.,1
Feat(Employee information): Implement CLEAN layers.,4
Test(When owner name changed, pets are updated.),4
BugFix(Auto-login),1
Style(Rebook widget): Blueshadowed.,1
Test(When owner name changed, pet is cleared.),2
Test( When owner is changed appointment card becomes undraggable.),3
Test ( When owner name, pet and duration is given, appt. card should be draggable.),1
Test( When pet is changed, breed and pet name over appt. card is also changed.),1
Test (When owner is changed, owner name over appt. card is also changed.),1
Test ( When appt. type is changed, appt. type over appt. card is also changed. ),1
Fix(Admin employee weekly schedule.,4
Feat(appointment slot),3
Fix( No SchedulingContextProvider ),1
Refactor( SSoT for date in dashboard header.): App multi calendar,4
Refactor( SSoT for branch in dashboard header): App branch select,1
Fix(Fixed on first load, cannot fetch appts.),4
Fix(Fetch on first load) : Appointment schedule.,1
Development cost,31038
Total,739
